20180826,白云,同德围,雅怡花园,2室1厅,48平米,2000
20180826,白云,同德围,同德花园同雅南街,1室1厅,33平米,1500
20180826,白云,同德围,同康路鹅掌坦后街,3室2厅,85平米,3000
20180826,白云,同德围,上步花园,1室1厅,54平米,1800
20180826,白云,同德围,上步公安宿舍,2室1厅,65平米,1900
20180826,白云,同德围,德胜花园,1室1厅,32平米,1200
20180826,白云,同德围,同德花园同雅南街,2室1厅,55平米,2100
20180826,白云,同德围,富林居,3室1厅,85平米,3800
20180826,白云,同德围,白云雅苑云雅大街,2室1厅,45平米,1600
20180826,白云,同德围,同德花园同雅南街,1室1厅,33平米,1500
20180826,白云,同德围,上步花园,2室1厅,55平米,1800
20180826,白云,同德围,康盈雅园,3室1厅,83平米,3200
20180826,白云,同德围,侨德花园西槎路,2室1厅,53平米,2100
20180826,白云,同德围,泽德花园,2室1厅,70平米,1900
20180826,白云,同德围,侨德花园侨德街,1室0厅,20平米,900
20180826,白云,同德围,泽德花园,3室1厅,67平米,2000
20180826,白云,同德围,白云雅苑云雅大街,3室1厅,100平米,3000
20180826,白云,同德围,嘉柏居,2室1厅,53平米,2600
20180826,白云,同德围,紫薇苑,3室1厅,78平米,2600
20180826,白云,同德围,同德花园同景东街,2室1厅,80平米,2800
20180826,白云,同德围,恒德苑,1室1厅,42平米,1400
20180826,白云,同德围,阳光花园,2室1厅,57平米,1800
20180826,白云,同德围,得宝花园,2室1厅,56平米,2300
20180826,白云,同德围,丽康居,3室1厅,98平米,3500
20180826,白云,同德围,泽德花园,1室1厅,30平米,1200
20180826,白云,同德围,上步花园,1室1厅,54平米,1800
20180826,白云,同德围,同康路鹅掌坦后街,3室2厅,85平米,3000
20180826,白云,同德围,田心花园,2室1厅,65平米,2700
20180826,白云,同德围,泽德花园,2室1厅,55平米,1800
20180826,白云,同德围,同德花园同景街,2室1厅,59平米,1600
20180826,白云,同德围,岭南花园,2室1厅,65平米,3000
20180826,白云,同德围,泽德花园,2室1厅,55平米,1800
20180826,白云,同德围,侨德花园西槎路,2室1厅,55平米,2200
